name,code1,code2,code3,code4,code5,code6,code7,code8,code9,code10,code11,code12,code13,code14,code15,code16,code17,code18,code19,code20,code21
"Baajra (Kash.)", A003,,,,,,,,,,,,,,,,,,,,
"Baans (H., P.)", D002,,,,,,,,,,,,,,,,,,,,
"Baarli Arisi (Tam.)", A004,,,,,,,,,,,,,,,,,,,,
"Bacchanga (Kon.)", E065,,,,,,,,,,,,,,,,,,,,
"Bacchanga (Kon.)", E066,,,,,,,,,,,,,,,,,,,,
"Bachhali (Tel.)", C007,,,,,,,,,,,,,,,,,,,,
"Badam (A.,B.,G.,H.,Kan., Kash.,Kh.,M.,Mar.,O.,P.,U.)", H012,,,,,,,,,,,,,,,,,,,,
"Badam Pappu (Tel.)", H001,,,,,,,,,,,,,,,,,,,,
"Badam paruppu (Tam.)", H001,,,,,,,,,,,,,,,,,,,,
"Badane (Kan.)", D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030
"Badarii (S.)", E068,,,,,,,,,,,,,,,,,,,,
"Baddi elaychi (P.)", G021,,,,,,,,,,,,,,,,,,,,
"Badha kopi (B.)", C015, C016,,,,,,,,,,,,,,,,,,,
"Badhika (S.)", G019,,,,,,,,,,,,,,,,,,,,
"Badi elaychi (H.)", G021,,,,,,,,,,,,,,,,,,,,
"Bael fruit (Common)", E008,,,,,,,,,,,,,,,,,,,,
"Bafela Chokha (G.)", A014,,,,,,,,,,,,,,,,,,,,
"Bahgaj (A.)", D002,,,,,,,,,,,,,,,,,,,,
"Baigan (O.)", D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030
"Baigan (P.)", D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030
"Baigan (U.)", D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030
"Baimbale, Kanile (Kan.)", D002,,,,,,,,,,,,,,,,,,,,
"Baimbale, Kanile (Kan.)", D002,,,,,,,,,,,,,,,,,,,,
"Baingan (H.)", D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030
"Bajara (N.)", A003,,,,,,,,,,,,,,,,,,,,
"Bajra (Common,B., H., Mar., O., P., U.)", A003,,,,,,,,,,,,,,,,,,,,
"Bajri (G.)", A003,,,,,,,,,,,,,,,,,,,,
"Bak ful shak (B.)", C001,,,,,,,,,,,,,,,,,,,,
"Bakhai ambli Vilayabi ambli (G.)", E044,,,,,,,,,,,,,,,,,,,,
"Bakla (H.)", D032, D049, D050,,,,,,,,,,,,,,,,,,
"Bakulla (N.)", B012,,,,,,,,,,,,,,,,,,,,
"Balalak, dindimi (H.)", E032,,,,,,,,,,,,,,,,,,,,
"Bale kayi (Kan.)", D063,,,,,,,,,,,,,,,,,,,,
"Bale motho (Kan.)", D062,,,,,,,,,,,,,,,,,,,,
"BaleHannu (Kan.)", E009,E010,E011,E012,,,,,,,,,,,,,,,,,
"Bamboo shoot, tender (Common)", D002,,,,,,,,,,,,,,,,,,,,
"Bambusa vulgaris (Sci.)", D002,,,,,,,,,,,,,,,,,,,,
"Banana, ripe, montham (Common)", E009,,,,,,,,,,,,,,,,,,,,
"Banana, ripe, poovam (Common)", E010,,,,,,,,,,,,,,,,,,,,
"Banana, ripe, red (Common)", E011,,,,,,,,,,,,,,,,,,,,
"Banana, ripe, robusta (Common)", E012,,,,,,,,,,,,,,,,,,,,
"Banda kovi (N.)", C015, C016,,,,,,,,,,,,,,,,,,,
"Bandh (Kash.)", C013, C014, C015,,,,,,,,,,,,,,,,,,
"bandh gobi (H.,Kash.)", C016,,,,,,,,,,,,,,,,,,,,
"Bandha kobi (O.)", C015,,,,,,,,,,,,,,,,,,,,
"Bandha kopee (O.)", C016,,,,,,,,,,,,,,,,,,,,
"Bangala dumpa (Tel.)", F006, F007, F008,,,,,,,,,,,,,,,,,,
"Banger chata (B.)", J001,J002,J003,J004,,,,,,,,,,,,,,,,,
"Bansber ankur (B.)", D002,,,,,,,,,,,,,,,,,,,,
"Bantala kadali (O.)", D063,,,,,,,,,,,,,,,,,,,,
"Baragudi (O.)", B007,B008,B009, D047, D048,,,,,,,,,,,,,,,,
"Barakoli (O.)", E068,,,,,,,,,,,,,,,,,,,,
"Barbati (B.)", B005, B006,,,,,,,,,,,,,,,,,,,
"Barbati beej (B.)", B018,B019,B020,,,,,,,,,,,,,,,,,,
"Barigalu (Tel.)", B018,B019,B020,,,,,,,,,,,,,,,,,,
"Barley (Common,B., Kan., Mal.,Tel.,A.)", A004,,,,,,,,,,,,,,,,,,,,
"Basala cheera (Mal.)", C033,,,,,,,,,,,,,,,,,,,,
"Basale soppu (Kan.)", C007,,,,,,,,,,,,,,,,,,,,
"Basella alba (Sci.)", C007,,,,,,,,,,,,,,,,,,,,
"Basella, leaves (Common)", C007,,,,,,,,,,,,,,,,,,,,
"Batabilembu (B.)", E056,,,,,,,,,,,,,,,,,,,,
"Batani (Kan.,Tel.)", B017, D061,,,,,,,,,,,,,,,,,,,
"Batapilembu (O.)", E056,,,,,,,,,,,,,,,,,,,,
"Batata (Mar.)", F006,F007,F008,,,,,,,,,,,,,,,,,,
"Bateka (G.)", F006,F007,F008,,,,,,,,,,,,,,,,,,
"Bathu sag (P.)", C008,,,,,,,,,,,,,,,,,,,,
"Bathua leaves (Common)", C008,,,,,,,,,,,,,,,,,,,,
"Bathua sag (O.,H.)", C008,,,,,,,,,,,,,,,,,,,,
"Baunir (U.)", B005, B006,,,,,,,,,,,,,,,,,,,
